code,name,signal_date,entry_price,exit_price,exit_reason,holding_days,return_pct,win
000660,SK하이닉스,20251226,599000,635000,target,1,6.01,True
009150,삼성전기,20250731,148700,144200,stop,1,-3.03,False
005380,현대차,20250724,217500,223000,target,4,2.53,True
012450,한화에어로스페이스,20251103,1042000,1011000,stop,1,-2.98,False
028260,삼성물산,20251204,240500,252500,target,2,4.99,True
329180,HD현대중공업,20250828,503000,529000,target,1,5.17,True
000270,기아,20250723,106100,102900,stop,2,-3.02,False
000270,기아,20251205,123600,119900,stop,9,-2.99,False
034020,두산에너빌리티,20260213,96700,98100,target,1,1.45,True
086790,하나금융지주,20251107,92000,93800,target,1,1.96,True
035420,NAVER,20251103,274500,266500,stop,2,-2.91,False
000810,삼성화재,20251107,488000,496500,target,1,1.74,True
066570,LG전자,20250723,79100,76700,stop,4,-3.03,False
009540,HD한국조선해양,20250728,353500,343000,stop,1,-2.97,False
005490,POSCO홀딩스,20260212,383000,390000,target,2,1.83,True
316140,우리금융지주,20251106,26600,25800,stop,1,-3.01,False
015760,한국전력,20250808,39750,38550,stop,2,-3.02,False
360750,TIGER 미국S&P500,20251114,24200,24900,target,14,2.89,True
011200,HMM,20260210,21200,22450,target,4,5.9,True
010140,삼성중공업,20250826,20600,21850,target,1,6.07,True
000150,두산,20250805,617000,598000,stop,2,-3.08,False
033780,KT&G,20251216,150000,145500,stop,1,-3.0,False
033780,KT&G,20260130,153900,163100,target,3,5.98,True
018260,삼성에스디에스,20251029,180500,175100,stop,1,-2.99,False
018260,삼성에스디에스,20260512,179300,173900,stop,1,-3.01,False
018260,삼성에스디에스,20260514,182900,193900,target,1,6.01,True
267250,HD현대,20260212,261000,269000,target,2,3.07,True
064350,현대로템,20260129,226500,219500,stop,1,-3.09,False
047810,한국항공우주,20251103,108900,105600,stop,1,-3.03,False
047810,한국항공우주,20251222,113000,119800,target,7,6.02,True
047810,한국항공우주,20260409,199900,193900,stop,2,-3.0,False
278470,에이피알,20251216,264000,256000,stop,1,-3.03,False
272210,한화시스템,20250728,57800,56100,stop,1,-2.94,False
272210,한화시스템,20250731,59400,57600,stop,1,-3.03,False
272210,한화시스템,20260304,116000,123000,target,1,6.03,True
011070,LG이노텍,20250730,159200,154400,stop,2,-3.02,False
011070,LG이노텍,20250811,164900,160000,stop,6,-2.97,False
000720,현대건설,20250806,71200,69100,stop,1,-2.95,False
133690,TIGER 미국나스닥100,20250801,143000,145700,target,8,1.89,True
071050,한국금융지주,20260507,276000,267500,stop,1,-3.08,False
005940,NH투자증권,20251104,20250,19640,stop,1,-3.01,False
005940,NH투자증권,20251106,20600,19980,stop,1,-3.01,False
005940,NH투자증권,20251110,21950,21300,stop,1,-2.96,False
005940,NH투자증권,20260507,37700,36550,stop,1,-3.05,False
003490,대한항공,20260702,28550,27700,stop,4,-2.98,False
